Reading MNIST images from mnist-data/t10k-images.idx3-ubyte...
Image dimensions: 28 x 28
Loaded 10000 images
Reading MNIST labels from mnist-data/t10k-labels-idx1-ubyte/t10k-labels-idx1-ubyte...
Loaded 20000 labels
Model created with 2 layers
Layer 0: 784 inputs, 8 neurons
Layer 1: 8 inputs, 10 neurons
Number of parameters: 6370
Loading model from file ./models/model_20260320_184837_h8.mdl

Running inference on 10000 images...

Image 0: Predicted digit = 0, Confidence = 0.1471, True label = 0 (Correct)
Image 1: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 2: Predicted digit = 0, Confidence = 0.9917, True label = 0 (Correct)
Image 3: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 4: Predicted digit = 0, Confidence = 0.9475, True label = 0 (Correct)
Image 5: Predicted digit = 0, Confidence = 0.9992, True label = 0 (Correct)
Image 6: Predicted digit = 0, Confidence = 0.9471, True label = 0 (Correct)
Image 7: Predicted digit = 0, Confidence = 0.9997, True label = 0 (Correct)
Image 8: Predicted digit = 0, Confidence = 0.4464, True label = 0 (Correct)
Image 9: Predicted digit = 0, Confidence = 0.9999, True label = 0 (Correct)
Image 10: Predicted digit = 0, Confidence = 0.9995, True label = 0 (Correct)
Image 11: Predicted digit = 0, Confidence = 0.9289, True label = 0 (Correct)
Image 12: Predicted digit = 0, Confidence = 0.9881, True label = 0 (Correct)
Image 13: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 14: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 15: Predicted digit = 0, Confidence = 0.9985, True label = 0 (Correct)
Image 16: Predicted digit = 0, Confidence = 0.9960, True label = 0 (Correct)
Image 17: Predicted digit = 0, Confidence = 0.9872, True label = 0 (Correct)
Image 18: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 19: Predicted digit = 0, Confidence = 0.9927, True label = 0 (Correct)
Image 20: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 21: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 22: Predicted digit = 0, Confidence = 0.9533, True label = 0 (Correct)
Image 23: Predicted digit = 0, Confidence = 0.5663, True label = 0 (Correct)
Image 24: Predicted digit = 0, Confidence = 0.9870, True label = 0 (Correct)
Image 25: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 26: Predicted digit = 0, Confidence = 0.9973, True label = 0 (Correct)
Image 27: Predicted digit = 0, Confidence = 0.9993, True label = 0 (Correct)
Image 28: Predicted digit = 0, Confidence = 0.9996, True label = 0 (Correct)
Image 29: Predicted digit = 0, Confidence = 0.9994, True label = 0 (Correct)
Image 30: Predicted digit = 0, Confidence = 0.9922, True label = 0 (Correct)
Image 31: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 32: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 33: Predicted digit = 0, Confidence = 0.9924, True label = 0 (Correct)
Image 34: Predicted digit = 0, Confidence = 0.9989, True label = 0 (Correct)
Image 35: Predicted digit = 0, Confidence = 0.9982, True label = 0 (Correct)
Image 36: Predicted digit = 0, Confidence = 0.9733, True label = 0 (Correct)
Image 37: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 38: Predicted digit = 0, Confidence = 0.9999, True label = 0 (Correct)
Image 39: Predicted digit = 0, Confidence = 0.9970, True label = 0 (Correct)
Image 40: Predicted digit = 0, Confidence = 0.9585, True label = 0 (Correct)
Image 41: Predicted digit = 0, Confidence = 0.9914, True label = 0 (Correct)
Image 42: Predicted digit = 0, Confidence = 0.9491, True label = 0 (Correct)
Image 43: Predicted digit = 0, Confidence = 0.9994, True label = 0 (Correct)
Image 44: Predicted digit = 0, Confidence = 0.2376, True label = 0 (Correct)
Image 45: Predicted digit = 0, Confidence = 0.2197, True label = 0 (Correct)
Image 46: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 47: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 48: Predicted digit = 0, Confidence = 0.9999, True label = 0 (Correct)
Image 49: Predicted digit = 0, Confidence = 0.3120, True label = 0 (Correct)
Image 50: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 51: Predicted digit = 0, Confidence = 0.9998, True label = 0 (Correct)
Image 52: Predicted digit = 0, Confidence = 0.9133, True label = 0 (Correct)
Image 53: Predicted digit = 0, Confidence = 0.8853, True label = 0 (Correct)
Image 54: Predicted digit = 0, Confidence = 1.0000, True label = 0 (Correct)
Image 55: Predicted digit = 0, Confidence = 0.9999, True label = 0 (Correct)
Image 56: Predicted digit = 0, Confidence = 0.8148, True label = 0 (Correct)
